subject,dataset_mouse_id,lab,n_sessions_mouse,n_probes_mouse,n_good_units_mouse,date,session_number,eid,n_probes_session,n_good_units_session,probe_name,pid,n_good_units,probe_regions_with_good_units,probe_region_good_unit_counts,n_regions_probe,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session,raw_lfp_available_session,raw_lfp_available_probe,raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
NYU-39,sub-NYU-39,angelakilab,5,10,694,2021-05-13,2,ee212778-3903-4f5b-ac4b-a72f22debf03,2,146,probe01,9793c99d-f918-4931-8bba-fdb978bd8e0a,84,"HB, MB",HB:55; MB:29,2,"HB, MB, CNU, Isocortex",HB:55; MB:29; CNU:12; Isocortex:2,4,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,522,339,183,0.649425
NYU-39,sub-NYU-39,angelakilab,5,10,694,2021-05-14,1,91a3353a-2da1-420d-8c7c-fad2fedfdd18,2,68,probe00,a85b9795-f99c-4c1d-a376-8b5ef095ffd7,13,"CNU, Isocortex",CNU:10; Isocortex:1,2,"CNU, OLF, CTXsp, Isocortex",CNU:30; OLF:12; CTXsp:11; Isocortex:4,4,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,508,363,145,0.714567
NYU-39,sub-NYU-39,angelakilab,5,10,694,2021-05-14,1,91a3353a-2da1-420d-8c7c-fad2fedfdd18,2,68,probe01,08ed0b3c-9f94-4c1f-8522-3d42a642a6b0,55,"CNU, OLF, CTXsp, Isocortex",CNU:20; OLF:12; CTXsp:11; Isocortex:3,4,"CNU, OLF, CTXsp, Isocortex",CNU:30; OLF:12; CTXsp:11; Isocortex:4,4,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,508,363,145,0.714567
NYU-40,sub-NYU-40,angelakilab,4,8,806,2021-04-13,1,5157810e-0fff-4bcf-b19d-32d4e39c7dfc,2,186,probe00,c410fda5-a6db-4697-a7e3-6ed65601844d,130,"HB, MB",HB:66; MB:61,2,"HB, MB, CB",HB:106; MB:61; CB:9,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,434,202,232,0.465438
NYU-40,sub-NYU-40,angelakilab,4,8,806,2021-04-13,1,5157810e-0fff-4bcf-b19d-32d4e39c7dfc,2,186,probe01,43b9b189-5221-46a0-928a-e137bc326534,56,"HB, CB",HB:40; CB:9,2,"HB, MB, CB",HB:106; MB:61; CB:9,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,434,202,232,0.465438
NYU-40,sub-NYU-40,angelakilab,4,8,806,2021-04-14,1,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,2,136,probe00,ef7e9f3e-a53a-4e00-8f6a-537667af2bea,46,"HPF, Isocortex",HPF:42; Isocortex:4,2,"HPF, Isocortex",HPF:131; Isocortex:5,2,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,546,291,255,0.532967
NYU-40,sub-NYU-40,angelakilab,4,8,806,2021-04-14,1,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,2,136,probe01,ce0dc660-f19e-46a3-94f9-646bebae6805,90,"HPF, Isocortex",HPF:89; Isocortex:1,2,"HPF, Isocortex",HPF:131; Isocortex:5,2,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,546,291,255,0.532967
NYU-40,sub-NYU-40,angelakilab,4,8,806,2021-04-15,1,71855308-7e54-41d7-a7a4-b042e78e3b4f,2,421,probe00,4431f9fd-aaa8-4b10-905c-0c6869ea1088,307,"CB, HB",CB:102; HB:102,2,"CB, HB",CB:210; HB:102,2,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,516,257,259,0.498062
NYU-40,sub-NYU-40,angelakilab,4,8,806,2021-04-15,1,71855308-7e54-41d7-a7a4-b042e78e3b4f,2,421,probe01,5f7766ce-8e2e-410c-9195-6bf089fea4fd,114,CB,CB:108,1,"CB, HB",CB:210; HB:102,2,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,516,257,259,0.498062
NYU-40,sub-NYU-40,angelakilab,4,8,806,2021-04-16,2,f359281f-6941-4bfd-90d4-940be22ed3c3,2,63,probe00,e9c04e7e-c075-4ee3-9750-dff255ec7e84,32,CB,CB:30,1,CB,CB:60,1,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,463,239,224,0.516199
