eid,subject,lab,date,session_number,n_trials,raw_lfp_available,raw_lfp_probes,n_raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_registered_datasets,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session
83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,CSHL052,churchlandlab,2020-02-20,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,225,"TH, HPF, HY",TH:45; HPF:44; HY:6,3
4b00df29-3769-43be-bb40-128b1cba6d35,CSHL052,churchlandlab,2020-02-21,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,250,"TH, HPF",TH:95; HPF:14,2
12dc8b34-b18e-4cdd-90a9-da134a9be79c,CSHL053,churchlandlab,2020-01-29,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,130,"Isocortex, HPF, TH",Isocortex:16; HPF:3; TH:1,3
0deb75fb-9088-42d9-b744-012fb8fc4afb,CSHL053,churchlandlab,2020-01-30,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,135,"Isocortex, TH, HPF",Isocortex:34; TH:17; HPF:12,3
eef82e27-c20e-48da-b4b7-c443031649e3,CSHL053,churchlandlab,2020-02-01,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,133,CB,CB:137,1
810b1e07-009e-4ebe-930a-915e4cd8ece4,CSHL053,churchlandlab,2020-02-02,2,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,224,"CB, HB, MB",CB:207; HB:72; MB:45,3
a71175be-d1fd-47a3-aa93-b830ea3634a1,CSHL054,churchlandlab,2020-02-11,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,223,"MB, Isocortex, HB, HPF",MB:94; Isocortex:22; HB:1; HPF:1,4
0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3,CSHL055,churchlandlab,2020-02-17,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,224,"TH, CNU, Isocortex, HPF, CTXsp, HY",TH:55; CNU:43; Isocortex:26; HPF:23; CTXsp:7; HY:5,6
f312aaec-3b6f-44b3-86b4-3a0c119c0438,CSHL058,churchlandlab,2020-07-07,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,248,"TH, Isocortex, HPF, MB",TH:98; Isocortex:56; HPF:19; MB:7,4
fb70ebf7-8175-42b0-9b7a-7c6e8612226e,CSHL058,churchlandlab,2020-07-08,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,221,"Isocortex, OLF, CNU",Isocortex:168; OLF:83; CNU:16,3
28741f91-c837-4147-939e-918d38d849f2,CSHL058,churchlandlab,2020-07-11,3,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,221,"Isocortex, CNU, OLF",Isocortex:53; CNU:35; OLF:21,3
d2f5a130-b981-4546-8858-c94ae1da75ff,CSHL059,churchlandlab,2020-03-03,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,225,"Isocortex, CNU, OLF",Isocortex:100; CNU:57; OLF:1,3
57b5ae8f-d446-4161-b439-b191c5e3e77b,CSHL059,churchlandlab,2020-03-05,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,224,"Isocortex, CNU",Isocortex:54; CNU:38,2
dda5fc59-f09a-4256-9fb5-66c67667a466,CSHL059,churchlandlab,2020-03-06,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,251,"Isocortex, TH, MB, HPF",Isocortex:64; TH:50; MB:41; HPF:29,4
d16a9a8d-5f42-4b49-ba58-1746f807fcc1,CSHL059,churchlandlab,2020-03-07,2,,True,probe01,1,True,"left, right",True,"left, right",DLC + Lightning Pose,133,CTXsp,CTXsp:3,1
