eid,stimOff_times,goCueTrigger_times,firstMovement_times,goCue_times,probabilityLeft,response_times,feedbackType,rewardVolume,contrastRight,choice,feedback_times,stimOn_times,contrastLeft,intervals_0,intervals_1,bwm_include,saturation_stim_plus04,saturation_feedback_plus04,saturation_move_minus02,saturation_stim_minus04_minus01,saturation_stim_plus06,saturation_stim_minus06_plus06,saturation_stim_minus06_minus01,saturation_stim_plus01,stim_side,rt
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,635.2914978306353,633.7584529736706,634.0262413400009,633.7592177406337,0.8,634.1871569277188,1.0,1.5,,1.0,634.1872416006341,633.7582845006337,0.25,633.1314471906331,635.7915737256726,True,False,False,False,False,False,False,False,False,left,0.2679568393671161
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,652.9234011306529,651.3741249218649,651.6432413400008,651.3750893106513,0.8,651.8022279239648,1.0,1.5,0.25,-1.0,651.8023465806518,651.3739894206514,,650.7308204106507,653.4234422928347,True,False,False,False,False,False,False,False,False,right,0.2692519193494718
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,684.3888209406844,682.9724492661686,683.1372413400009,682.9731958506829,0.8,683.2815512349958,1.0,1.5,,1.0,683.2816650006832,682.972229280683,1.0,681.8443420806818,684.8888634727826,True,False,False,False,False,False,False,False,False,left,0.1650120593178599
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,692.4711126306925,690.9048188499618,691.2532413400008,690.905469210691,0.8,691.3626251007905,1.0,1.5,,1.0,691.3627234806913,690.9046692906909,0.25,690.1754088906902,692.9711510634012,True,False,False,False,False,False,False,False,False,left,0.34857204930995067
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,695.7709826106958,694.271563733389,694.4772413400009,694.2724658106943,0.8,694.6682684035143,1.0,1.5,,1.0,694.6683595506947,694.2714325806943,1.0,693.6945569406937,696.2710902724094,True,False,False,False,False,False,False,False,False,left,0.20580875930659204
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,708.2036392207082,706.2542971869614,706.7642413400009,706.2550341007062,0.8,707.0714023028546,1.0,1.5,,1.0,707.0714857807071,706.2541008607062,0.125,705.3476915107053,708.703715522764,True,False,False,False,False,False,False,False,False,left,0.5101404792947051
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,711.4205508307115,709.9709246322258,710.1652413400009,709.97166240071,0.8,710.3064293003961,1.0,1.5,,1.0,710.3065289107103,709.97072916071,1.0,709.4253170407094,711.9206547605291,True,False,False,False,False,False,False,False,False,left,0.19451217929088216
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,716.9036358007169,715.2032855876969,715.5432413400009,715.2039724507152,0.8,715.786290783208,1.0,1.5,0.125,-1.0,715.7863808707158,715.2031392007152,,712.6350627007126,717.4037071969817,True,False,False,False,False,False,False,False,False,right,0.34010213928570465
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,728.4029190907285,726.8196885116656,727.0772413400009,726.8205440107268,0.8,727.2994948156218,1.0,1.5,,1.0,727.2995961007273,726.8195107807268,0.125,724.6595601307247,728.903019883606,True,False,False,False,False,False,False,False,False,left,0.2577305592741368
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,732.2526674107322,730.8190324808164,730.9942413400009,730.8198440407308,0.8,731.1256342251546,1.0,1.5,,1.0,731.1257467807311,730.8188774707309,0.25,729.6677259307297,732.7527464822257,True,False,False,False,False,False,False,False,False,left,0.17536386927008607
