pid,probe_regions_with_good_units,probe_region_good_unit_counts,n_regions_probe
41ea689a-7e05-463b-915a-90e63b8c0572,"Isocortex, OLF",Isocortex:98; OLF:6,2
4279e354-a6b8-4eff-8245-7c8723b07834,"CNU, Isocortex, OLF, CTXsp",CNU:57; Isocortex:18; OLF:9; CTXsp:2,4
43436b4b-0431-407f-b83d-d657ec22b5c6,"MB, Isocortex",MB:84; Isocortex:32,2
4364cabe-a27c-4bd5-b398-1d068aca47cf,"Isocortex, HPF, MB",Isocortex:29; HPF:13; MB:12,3
437f43e1-9c8f-4be9-ac89-97885b0e03d0,"CB, HB, MB",CB:36; HB:28; MB:28,3
43b9b189-5221-46a0-928a-e137bc326534,"HB, CB",HB:40; CB:9,2
43d4f889-4b05-44df-8306-ea10f854776f,"Isocortex, HPF, TH",Isocortex:16; HPF:3; TH:1,3
4431f9fd-aaa8-4b10-905c-0c6869ea1088,"CB, HB",CB:102; HB:102,2
44f5caad-c703-4279-866b-0303e57d2a7f,"HB, HPF, MB, Isocortex",HB:28; HPF:26; MB:8; Isocortex:4,4
44fc463b-405f-4048-9242-ac018b9f50f7,"TH, Isocortex, HPF",TH:122; Isocortex:24; HPF:21,3
450cea3b-9289-4708-9df2-a2518bdc4b59,"CNU, Isocortex",CNU:11; Isocortex:7,2
45c49ba2-a113-4446-9c6d-9b049c1f9f74,"TH, CNU, OLF",TH:38; CNU:34; OLF:1,3
45e7731f-4a43-45d5-9029-c080150bc596,"Isocortex, CNU, OLF",Isocortex:111; CNU:43; OLF:20,3
461ecb39-ab58-4a6c-acd7-22da5b4b4b22,"TH, HPF",TH:39; HPF:4,2
46448da7-ad7b-4ca8-b3ab-2d1d47439cbf,MB,MB:67,1
46630957-63fd-4d0d-a2ba-8766f0796db8,"CTXsp, CNU, Isocortex",CTXsp:40; CNU:24; Isocortex:15,3
46cd9c0a-39de-4aeb-90a6-86a2fda0b1a4,"MB, HB",MB:94; HB:51,2
47403ac7-6635-4477-9477-18ff605ff5d4,"MB, HB",MB:37; HB:4,2
4755877d-fd14-42b3-bc15-e1996d153015,"CNU, HY",CNU:81; HY:1,2
4762e8ed-4d94-4fd7-9522-e927f5ffca74,HPF,HPF:37,1
478de1ce-d7e7-4221-9365-2abdc6e88fb6,"MB, Isocortex, HPF",MB:83; Isocortex:42; HPF:26,3
47be9ae4-290f-46ab-b047-952bc3a1a509,"CNU, CTXsp, OLF",CNU:67; CTXsp:64; OLF:8,3
4836a465-c691-4852-a0b1-dcd2b1ce38a1,"MB, HPF, Isocortex",MB:36; HPF:27; Isocortex:8,3
485b50c8-71e1-4654-9a07-64395c15f5ed,"MB, HPF, Isocortex, TH",MB:46; HPF:26; Isocortex:2; TH:1,4
4994543f-20e8-4421-adca-8739984e07ad,"TH, HPF, HY, MB",TH:108; HPF:50; HY:19; MB:12,4
49a86b2e-3db4-42f2-8da8-7ebb7e482c70,"Isocortex, OLF",Isocortex:127; OLF:4,2
49c2ea3d-2b50-4e8a-b124-9e190960784e,HPF,HPF:151,1
4b93a168-0f3b-4124-88fa-a57046ca70e1,"TH, HPF, Isocortex",TH:32; HPF:5; Isocortex:5,3
4c04120d-523a-4795-ba8f-49dbb8d9f63a,"Isocortex, MB, HPF",Isocortex:62; MB:28; HPF:26,3
4d2e7e49-5b08-4914-afa6-fd311d957082,"MB, HY",MB:9; HY:1,2
4e6dfe08-cab0-4a05-903b-94283cb9f8e7,"CB, MB, HB",CB:57; MB:7; HB:3,3
4ea45238-55b1-4d54-ba92-efa47feb9f57,CB,CB:60,1
