subject,dataset_mouse_id,lab,date,session_number,eid,n_probes,n_good_units,probes,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session,raw_lfp_available,raw_lfp_probes,n_raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
ZFM-01936,sub-ZFM-01936,mainenlab,2021-01-24,1,3f6e25ae-c007-4dc3-aa77-450fd5705046,1,136,probe00,"OLF, Isocortex, CNU",OLF:72; Isocortex:40; CNU:24,3,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,401,217,184,0.541147
ZFM-01937,sub-ZFM-01937,mainenlab,2021-04-08,1,113c5b6c-940e-4b21-b462-789b4c2be0e5,1,130,probe00,"CNU, Isocortex",CNU:64; Isocortex:57,2,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,436,304,132,0.697248
ZFM-01937,sub-ZFM-01937,mainenlab,2021-04-09,1,0b7ee1b6-42db-46cd-a465-08f531366187,1,87,probe00,CNU,CNU:77,1,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,797,629,168,0.78921
ZFM-02368,sub-ZFM-02368,mainenlab,2021-06-01,1,a4a74102-2af5-45dc-9e41-ef7f5aed88be,2,372,"probe00, probe01","TH, CNU, Isocortex, HY, HPF",TH:180; CNU:146; Isocortex:22; HY:13; HPF:7,5,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,408,271,137,0.664216
ZFM-02369,sub-ZFM-02369,mainenlab,2021-05-19,1,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,2,474,"probe00, probe01","CB, TH, HB, HPF, Isocortex",CB:227; TH:124; HB:21; HPF:4; Isocortex:2,5,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,733,377,356,0.514325
ZFM-02370,sub-ZFM-02370,mainenlab,2021-04-27,1,d0c91c3c-8cbb-4929-8657-31f18bffc294,1,61,probe00,"OLF, CNU, CTXsp",OLF:40; CNU:17; CTXsp:4,3,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,815,617,198,0.757055
ZFM-02370,sub-ZFM-02370,mainenlab,2021-04-28,1,6f6d2c8e-28be-49f4-ae4d-06be2d3148c1,1,295,probe00,"CNU, OLF, Isocortex",CNU:94; OLF:92; Isocortex:66,3,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,552,394,158,0.713768
ZFM-02372,sub-ZFM-02372,mainenlab,2021-06-01,2,88224abb-5746-431f-9c17-17d7ef806e6a,2,211,"probe00, probe01","TH, MB, HPF, HY",TH:113; MB:68; HPF:13; HY:7,4,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,452,355,97,0.785398
ZFM-02372,sub-ZFM-02372,mainenlab,2021-06-02,2,7cec9792-b8f9-4878-be7e-f08103dc0323,1,36,probe00,"HB, MB, CB",HB:19; MB:14; CB:3,3,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,616,474,142,0.769481
ZFM-02373,sub-ZFM-02373,mainenlab,2021-06-23,1,0802ced5-33a3-405e-8336-b65ebc5cb07c,2,367,"probe00, probe01","TH, Isocortex, HPF",TH:280; Isocortex:58; HPF:25,3,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,424,277,147,0.653302
