subject,dataset_mouse_id,lab,date,session_number,eid,n_probes,n_good_units,probes
DY_009,sub-DY_009,danlab,2020-02-27,1,db4df448-e449-4a6f-a0e7-288711e7a75a,1,120,probe00
DY_009,sub-DY_009,danlab,2020-02-29,1,3dd347df-f14e-40d5-9ff2-9c49f84d2157,1,131,probe00
DY_009,sub-DY_009,danlab,2020-03-02,1,3c851386-e92d-4533-8d55-89a46f0e7384,1,67,probe00
DY_009,sub-DY_009,danlab,2020-03-03,1,158d5d35-a2ab-4a76-87b0-51048c5d5283,1,105,probe00
DY_009,sub-DY_009,danlab,2020-03-04,1,30e5937e-e86a-47e6-93ae-d2ae3877ff8e,1,110,probe00
DY_009,sub-DY_009,danlab,2020-03-05,1,413a6825-2144-4a50-b3fc-cf38ddd6fd1a,1,52,probe00
DY_009,sub-DY_009,danlab,2020-03-06,1,a19c7a3a-7261-42ce-95d5-1f4ca46007ed,1,80,probe00
DY_009,sub-DY_009,danlab,2020-03-07,1,e5c772cd-9c92-47ab-9525-d618b66a9b5d,1,176,probe00
DY_009,sub-DY_009,danlab,2020-03-09,1,6668c4a0-70a4-4012-a7da-709660971d7a,1,346,probe00
DY_010,sub-DY_010,danlab,2020-01-21,1,4fa70097-8101-4f10-b585-db39429c5ed0,1,103,probe00
DY_010,sub-DY_010,danlab,2020-01-23,1,90d1e82c-c96f-496c-ad4e-ee3f02067f25,1,103,probe00
DY_010,sub-DY_010,danlab,2020-01-24,1,bb6a5aae-2431-401d-8f6a-9fdd6de655a9,1,89,probe00
DY_010,sub-DY_010,danlab,2020-01-28,1,931a70ae-90ee-448e-bedb-9d41f3eda647,1,126,probe00
DY_010,sub-DY_010,danlab,2020-01-29,1,02fbb6da-3034-47d6-a61b-7d06c796a830,1,96,probe00
DY_011,sub-DY_011,danlab,2020-01-31,1,7bee9f09-a238-42cf-b499-f51f765c6ded,1,83,probe00
DY_011,sub-DY_011,danlab,2020-02-01,1,36280321-555b-446d-9b7d-c2e17991e090,1,59,probe00
DY_011,sub-DY_011,danlab,2020-02-07,1,741979ce-3f10-443a-8526-2275620c8473,1,84,probe00
DY_011,sub-DY_011,danlab,2020-02-08,1,cf43dbb1-6992-40ec-a5f9-e8e838d0f643,1,41,probe00
DY_013,sub-DY_013,danlab,2020-03-06,1,2f63c555-eb74-4d8d-ada5-5c3ecf3b46be,1,34,probe00
DY_013,sub-DY_013,danlab,2020-03-07,1,9a629642-3a9c-42ed-b70a-532db0e86199,1,134,probe00
DY_013,sub-DY_013,danlab,2020-03-12,1,e535fb62-e245-4a48-b119-88ce62a6fe67,2,107,"probe00, probe01"
DY_014,sub-DY_014,danlab,2020-07-13,1,f25642c6-27a5-4a97-9ea0-06652db79fbd,2,135,"probe00, probe01"
DY_014,sub-DY_014,danlab,2020-07-14,1,4720c98a-a305-4fba-affb-bbfa00a724a4,2,171,"probe00, probe01"
DY_014,sub-DY_014,danlab,2020-07-15,1,7622da34-51b6-4661-98ae-a57d40806008,2,42,"probe00, probe01"
DY_014,sub-DY_014,danlab,2020-07-16,1,b658bc7d-07cd-4203-8a25-7b16b549851b,2,148,"probe00, probe01"
DY_014,sub-DY_014,danlab,2020-07-17,1,bd456d8f-d36e-434a-8051-ff3997253802,2,228,"probe00, probe01"
DY_014,sub-DY_014,danlab,2020-07-18,1,ee8b36de-779f-4dea-901f-e0141c95722b,2,220,"probe00, probe01"
DY_014,sub-DY_014,danlab,2020-07-19,1,b39752db-abdb-47ab-ae78-e8608bbf50ed,2,147,"probe00, probe01"
DY_016,sub-DY_016,danlab,2020-09-11,1,5339812f-8b91-40ba-9d8f-a559563cc46b,2,469,"probe00, probe01"
DY_016,sub-DY_016,danlab,2020-09-12,1,d23a44ef-1402-4ed7-97f5-47e9a7a504d9,2,398,"probe00, probe01"
DY_016,sub-DY_016,danlab,2020-09-13,1,c3d9b6fb-7fa9-4413-a364-92a54df0fc5d,2,191,"probe00, probe01"
DY_016,sub-DY_016,danlab,2020-09-14,1,aa20388b-9ea3-4506-92f1-3c2be84b85db,2,192,"probe00, probe01"
DY_016,sub-DY_016,danlab,2020-09-15,1,251ece37-7798-477c-8a06-2845d4aa270c,2,264,"probe00, probe01"
DY_018,sub-DY_018,danlab,2020-10-15,1,54238fd6-d2d0-4408-b1a9-d19d24fd29ce,2,241,"probe00, probe01"
DY_018,sub-DY_018,danlab,2020-10-17,1,e8b4fda3-7fe4-4706-8ec2-91036cfee6bd,2,175,"probe00, probe01"
DY_018,sub-DY_018,danlab,2020-10-20,1,cde63527-7f5a-4cc3-8ac2-215d82e7da26,2,80,"probe00, probe01"
DY_020,sub-DY_020,danlab,2020-09-29,1,4a45c8ba-db6f-4f11-9403-56e06a33dfa4,2,435,"probe00, probe01"
DY_020,sub-DY_020,danlab,2020-09-30,1,f7335a49-4a98-46d2-a8ce-d041d2eac1d6,2,263,"probe00, probe01"
DY_020,sub-DY_020,danlab,2020-10-01,1,9eec761e-9762-4897-b308-a3a08c311e69,2,211,"probe00, probe01"
DY_020,sub-DY_020,danlab,2020-10-02,1,9fe512b8-92a8-4642-83b6-01158ab66c3c,2,173,"probe00, probe01"
DY_020,sub-DY_020,danlab,2020-10-03,1,26aa51ff-968c-42e4-85c8-8ff47d19254d,2,200,"probe00, probe01"
